HourTimestamp,EventType_app_launch,EventType_network_connection,EventType_other,EventType_permission_change
2025-08-05 23:00:00,21,0,454,0
2025-08-06 04:00:00,4,0,101,0
2025-08-06 05:00:00,49,2,1641,0
2025-08-06 06:00:00,0,0,129,0
2025-08-06 07:00:00,0,0,214,0
2025-08-06 08:00:00,0,0,155,0
2025-08-06 09:00:00,0,0,172,0
2025-08-06 10:00:00,0,0,59,1
2025-08-06 11:00:00,0,0,20,0
2025-08-06 12:00:00,0,0,246,0
2025-08-06 13:00:00,0,0,315,0
2025-08-06 14:00:00,3,0,168,0
2025-08-06 15:00:00,0,0,135,0
2025-08-06 16:00:00,0,0,101,0
2025-08-06 17:00:00,0,0,66,0
2025-08-06 18:00:00,0,0,137,0
2025-08-06 19:00:00,0,0,75,0
2025-08-06 20:00:00,0,0,124,0
2025-08-06 21:00:00,0,0,67,0
2025-08-06 22:00:00,0,0,253,0
2025-08-06 23:00:00,0,0,161,0
2025-08-07 00:00:00,0,0,52,0
2025-08-07 03:00:00,0,0,8,0
2025-08-07 04:00:00,0,0,212,0
2025-08-07 05:00:00,0,0,87,0
2025-08-07 06:00:00,0,0,260,0
2025-08-07 07:00:00,0,0,26,0
2025-08-07 10:00:00,0,0,38,0
2025-08-07 11:00:00,0,0,143,0
2025-08-07 12:00:00,0,0,94,0
2025-08-07 13:00:00,0,0,173,0
2025-08-07 14:00:00,0,0,24,0
2025-08-07 15:00:00,0,0,110,0
2025-08-07 16:00:00,0,0,156,0
2025-08-07 17:00:00,0,0,56,0
2025-08-07 18:00:00,0,0,181,0
2025-08-07 19:00:00,0,0,313,0
2025-08-07 20:00:00,0,0,195,0
2025-08-07 21:00:00,0,0,134,0
2025-08-07 22:00:00,0,0,165,0
2025-08-07 23:00:00,0,0,61,0
2025-08-08 00:00:00,0,0,8,0
2025-08-08 03:00:00,0,0,5,0
2025-08-08 04:00:00,0,0,180,0
2025-08-08 05:00:00,0,0,142,0
2025-08-08 06:00:00,0,0,37,0
2025-08-08 08:00:00,0,0,5,0
2025-08-08 09:00:00,0,0,15,0
2025-08-08 10:00:00,0,0,65,0
2025-08-08 11:00:00,0,0,117,0
2025-08-08 12:00:00,0,0,45,0
2025-08-08 13:00:00,0,0,204,0
2025-08-08 14:00:00,0,0,262,0
2025-08-08 15:00:00,0,0,72,0
2025-08-08 16:00:00,0,0,65,0
2025-08-08 17:00:00,0,0,159,0
2025-08-08 18:00:00,0,0,89,0
